Software,RP Name
PyTorch-Geometric,ACES
PyTorch-Lightning,ACES
PyYAML,ACES
qchem,Stampede-2
qd,OOKAMI
qe,Rockfish
qemu,Anvil
Qhull,ACES
qiime2,Rockfish
qmn,Rockfish
qt,"Anvil, Rockfish"
qt4,Stampede-2
qt5,"Stampede-2, ACES"
Quantum Espresso,Bridges-2
quantum-espresso,OOKAMI
QuantumATK,DARWIN
QuantumEspresso,OOKAMI
r,"Jetstream2, OOKAMI, DARWIN, ACES, Bridges-2, Rockfish"
R Studio,Jetstream2
R_tamu,ACES
r-4.0.4-gcc-9.3.0-y4fafhe,KyRIC
r-raster,Rockfish
r-sva,Rockfish
r-textshaping,Rockfish
RapidJSON,ACES
RAPIDS,Bridges-2
RAxML,Bridges-2
Rclone,"Expanse, OOKAMI, Bridges-2"
RDFlib,ACES
RDKit,ACES
RE2,ACES
re2c,ACES
readline,OOKAMI
readline-8.0-gcc-9.3.0-ek27n5r,KyRIC
readline-devel,OOKAMI
Redis,ACES
redis-py,ACES
referencelapack,Stampede-2
ReFrame,ACES
relion,Rockfish
remora,"Stampede-2, Rockfish"
rhtslib,Rockfish
rising,ACES
rmats-turbo,Rockfish
RNAview,Bridges-2
rocm,Anvil
ROOT,ACES
rosetta,Stampede-2
rsamtools,Rockfish
rsem,Rockfish
Rstats,Stampede-2
RstatsPackages,Stampede-2
rstudio,"Stampede-2, Rockfish"
RstudioDesktop,Stampede-2
Ruby,Rockfish
rust,"OOKAMI, ACES, Rockfish"
SAMtools,"Stampede-2, ACES, Bridges-2, Rockfish"
sanitytool,Stampede-2
ScaFaCoS,ACES
ScaLAPACK,"OOKAMI, DARWIN, ACES"
scalasca,"OOKAMI, KyRIC"
scikit-build,ACES
scikit-cuda,ACES
scikit-image,ACES
Scikit-learn,"ACES, Bridges-2"
scipy,Bridges-2
SciPy-bundle,ACES
SCons,ACES
scorep,KyRIC
SCOTCH,ACES
screen,Rockfish
SDL2,ACES
SentencePiece,ACES
Serf,ACES
settarg,"Stampede-2, ACES"
seurat,Rockfish
shadow-4.7-gcc-9.3.0-2hjnrcg,KyRIC
SHAP,ACES
shared,OOKAMI
Shiny,Jetstream2
siesta,"OOKAMI, Stampede-2"
silo,"Stampede-2, Rockfish"
singularity,"Jetstream2, OOKAMI, DARWIN, Bridges-2, Rockfish"
singularity-3.7.2-gcc-9.3.0-gpxljgj,KyRIC
singularitypro,Expanse
sionlib,KyRIC
SIRfindeR,Rockfish
slepc,"Stampede-2, ACES"
slurm,"Expanse, OOKAMI, Rockfish"
slurm-env,Delta
snakemake,Rockfish
snappy,ACES
souporcell,Rockfish
spack,OOKAMI
spaCy,ACES
SPAdes,"Bridges-2, Rockfish"
Spark,Bridges-2
spdlog,OOKAMI
spglib,ACES
spglib-python,ACES
spython,ACES
sqlite,"Anvil, ACES, Rockfish"
sqlite-3.34.0-gcc-9.3.0-k5dhzbj,KyRIC
squashfs-4.4-gcc-9.3.0-kfis3v6,KyRIC
SRA toolkit,Bridges-2
SRA-Toolkit,ACES
sra-tools,Rockfish
sratoolkit,"Expanse, Stampede-2"
STAR,Rockfish
STAR Aligner,Bridges-2
STAR-Fusion,Bridges-2
statsmodels,ACES
